Rd(i), Eu(i), Lat(i), cone(i)
0.419355, 0.496166, 0.885450, 0.187082
0.494957, 0.019313, 0.004167, 0.002023
1.000000, 0.000000, 0.010774, 0.010774
0.948161, 0.012254, 0.010455, 0.009792
0.948161, 0.002878, 0.008200, 0.007752
0.896321, 0.016852, 0.009037, 0.007964
0.870401, 0.018725, 0.017681, 0.015101
0.533445, 0.016416, 0.011075, 0.005811
0.766722, 0.010723, 0.011184, 0.008483
0.481605, 0.008253, 0.013500, 0.006448
0.844482, 0.011016, 0.009185, 0.007671
0.455686, 0.007839, 0.013833, 0.006254
0.870401, 0.009660, 0.013848, 0.011937
0.352007, 0.010706, 0.017537, 0.006107
0.353136, 0.016271, 0.013612, 0.004729
0.482509, 0.013660, 0.008282, 0.003941
0.379010, 0.005962, 0.014431, 0.005437
0.844753, 0.000485, 0.011278, 0.009522
0.715380, 0.010673, 0.015917, 0.011266
1.000000, 0.002927, 0.007049, 0.007029
0.430760, 0.008958, 0.014743, 0.006294
0.611882, 0.013666, 0.007568, 0.004567
0.534258, 0.006344, 0.012300, 0.006530
0.404885, 0.003943, 0.010984, 0.004430
0.637756, 0.003617, 0.012798, 0.008132
0.275512, 0.015095, 0.017723, 0.004809
1.000000, 0.006196, 0.012851, 0.012772
0.319255, 0.017365, 0.012325, 0.003867
1.000000, 0.018113, 0.007556, 0.007419
1.000000, 0.013767, 0.006938, 0.006842
