uniforme, random, attention, otimal
21.576155, 21.123144, 23.938962, 24.965182
18.411653, 18.065753, 21.625081, 22.784775
46.604496, 45.400763, 58.410587, 59.544994
19.274699, 18.803727, 22.060089, 23.073385
50.344363, 49.425175, 61.376709, 62.986083
19.850063, 19.351577, 23.088253, 23.543110
47.467542, 46.294662, 58.588923, 59.720192
12.370329, 12.175087, 14.915480, 15.210378
19.274699, 18.921795, 22.878537, 23.317020
6.329006, 6.227078, 6.869359, 6.982116
45.453767, 44.742592, 56.886722, 58.182687
19.850063, 19.504306, 23.773638, 24.481711
9.781190, 9.558339, 11.291382, 11.811546
48.330588, 47.433007, 58.672534, 60.616451
19.850063, 19.384853, 23.685270, 24.229039
8.918144, 8.827747, 10.840882, 10.933159
7.479734, 7.337861, 8.688795, 8.801552
18.987017, 18.714983, 21.656330, 22.137498
11.794965, 11.570730, 14.472588, 14.572841
21.288473, 20.789732, 24.313090, 25.177392
21.000791, 20.721339, 24.461508, 25.156548
10.644237, 10.445994, 12.086172, 12.932087
10.931919, 10.776376, 12.794928, 13.267391
16.110196, 15.918707, 19.822914, 20.194010
44.303039, 43.032887, 53.688068, 55.849470
6.616688, 6.535305, 7.030906, 7.157041
23.589930, 23.233300, 26.909653, 27.514159
43.439993, 42.421583, 54.323704, 55.507317
50.056681, 49.110662, 61.575439, 63.670510
11.507283, 11.291518, 13.542644, 14.269740
