Rd(i), Eu(i), Lat(i), cone(i)
0.285714, 0.540779, 0.515370, 0.270735
0.901754, 0.006357, 0.019781, 0.914103
0.754386, 0.004899, 0.049551, 0.789827
0.754386, 0.013779, 0.042022, 0.776627
0.656140, 0.014110, 0.054278, 0.684009
0.901754, 0.002408, 0.051366, 0.948293
0.607018, 0.003434, 0.043623, 0.632525
0.975439, 0.006817, 0.043476, 1.012823
0.533333, 0.010560, 0.058321, 0.560383
0.582456, 0.014636, 0.055771, 0.607830
0.508772, 0.006803, 0.045223, 0.529244
1.000000, 0.004159, 0.059757, 1.059132
0.950877, 0.008989, 0.043301, 0.984980
0.950877, 0.011331, 0.051148, 0.990779
0.557895, 0.012202, 0.057963, 0.584995
0.975439, 0.012381, 0.050971, 1.015103
0.508772, 0.002700, 0.051548, 0.534975
0.533333, 0.004741, 0.056647, 0.562678
0.656140, 0.015925, 0.042570, 0.674401
0.975439, 0.016049, 0.052568, 1.013038
0.975439, 0.002357, 0.047634, 1.021813
0.680702, 0.006136, 0.044284, 0.707872
0.901754, 0.015273, 0.058146, 0.942802
0.607018, 0.009405, 0.043202, 0.628459
0.508772, 0.006339, 0.048516, 0.531324
0.508772, 0.010900, 0.045597, 0.527268
0.656140, 0.014438, 0.043655, 0.676186
0.656140, 0.016230, 0.052429, 0.681206
0.705263, 0.005007, 0.045961, 0.735538
0.975439, 0.004043, 0.049101, 1.021660
0.582456, 0.004836, 0.051978, 0.611420
0.950877, 0.006124, 0.051449, 0.996314
0.656140, 0.003132, 0.055280, 0.692358
0.828070, 0.000000, 0.044488, 0.866625
0.778947, 0.003836, 0.058630, 0.824287
0.975439, 0.011278, 0.053251, 1.018684
0.803509, 0.010369, 0.047963, 0.835237
0.557895, 0.017888, 0.042575, 0.572280
0.484211, 0.016750, 0.050879, 0.501622
0.778947, 0.001027, 0.047515, 0.816966
0.975439, 0.011604, 0.055888, 1.021193
0.557895, 0.003546, 0.060586, 0.591769
0.901754, 0.006230, 0.060597, 0.953943
0.852632, 0.011716, 0.060325, 0.896737
0.557895, 0.008256, 0.053706, 0.584690
0.656140, 0.016379, 0.053267, 0.681705
0.803509, 0.014999, 0.058482, 0.840618
1.000000, 0.005641, 0.052919, 1.049920
1.000000, 0.005936, 0.059298, 1.056726
1.000000, 0.018432, 0.047075, 1.030058
