Rd(i), Eu(i), Lat(i), cone(i)
0.150000, 0.548858, 0.055410, 0.071641
1.000000, 0.001789, 0.345176, 1.524394
0.928315, 0.006565, 0.008713, 0.930326
1.000000, 0.010927, 0.119175, 1.122894
0.856631, 0.015652, 0.102142, 0.939149
0.617682, 0.017695, 0.100351, 0.674432
0.641577, 0.004248, 0.112653, 0.719958
0.784946, 0.001232, 0.095761, 0.867004
0.784946, 0.009787, 0.107513, 0.870897
1.000000, 0.011460, 0.098932, 1.097076
0.569892, 0.013013, 0.098970, 0.624260
0.713262, 0.017378, 0.103454, 0.781740
0.617682, 0.017541, 0.108356, 0.680594
0.880526, 0.002274, 0.107861, 0.984739
0.737157, 0.002470, 0.109298, 0.825569
0.689367, 0.002606, 0.105577, 0.768730
0.569892, 0.017323, 0.111259, 0.630128
0.784946, 0.001455, 0.113982, 0.884637
0.808841, 0.015453, 0.121678, 0.906663
0.880526, 0.010333, 0.102211, 0.970638
0.784946, 0.014763, 0.117567, 0.876392
0.569892, 0.015052, 0.121797, 0.639163
0.522103, 0.014539, 0.119412, 0.584282
0.522103, 0.017373, 0.122513, 0.584661
0.904421, 0.003165, 0.096931, 0.998327
0.593787, 0.004441, 0.121674, 0.673042
0.808841, 0.001059, 0.108417, 0.906236
0.976105, 0.008416, 0.094603, 1.069024
0.593787, 0.010842, 0.105706, 0.656775
0.737157, 0.017447, 0.101773, 0.806361
0.761051, 0.002364, 0.118597, 0.861413
0.832736, 0.007026, 0.093296, 0.911968
0.808841, 0.015671, 0.099487, 0.884125
0.808841, 0.004125, 0.107068, 0.902089
0.641577, 0.000179, 0.101702, 0.714086
1.000000, 0.001693, 0.110823, 1.122732
0.975520, 0.011836, 0.112374, 1.086015
0.951040, 0.005765, 0.100345, 1.051022
0.804162, 0.007756, 0.116133, 0.902765
0.951040, 0.007533, 0.120755, 1.073507
0.755202, 0.009019, 0.100877, 0.832357
0.951040, 0.010734, 0.093531, 1.037908
0.804162, 0.002152, 0.093387, 0.885086
0.657283, 0.001683, 0.104321, 0.732602
0.853121, 0.001951, 0.111945, 0.958789
0.975520, 0.014574, 0.103794, 1.072636
0.902081, 0.009046, 0.122403, 1.018600
1.000000, 0.006369, 0.096281, 1.099491
1.000000, 0.000000, 0.112820, 1.127167
1.000000, 0.014747, 0.101874, 1.097010
